2,0,4,0.03,2224,2288,64,12.8
2,1,4,0.03,2288,2360,72,12.8
2,2,4,0.03,2360,2451,91,12.8
2,3,4,0.03,2451,2528,77,12.8
2,4,4,0.03,2543,2597,54,12.8
2,5,4,0.03,2597,2665,68,12.8
2,6,4,0.03,2665,2716,51,12.8
2,7,4,0.03,2716,2808,92,12.8
2,8,4,0.03,2808,2885,77,12.8
2,9,4,0.03,2886,2973,87,12.8
2,10,4,0.03,2973,3059,86,12.8
2,13,4,0.03,3270,3396,126,12.8
2,14,4,0.03,3396,3522,126,12.8
2,15,4,0.03,3522,3646,124,12.8
2,16,4,0.03,3646,3753,107,12.8
2,17,4,0.03,3753,3883,130,12.8
2,18,4,0.03,3883,3991,108,12.8
2,19,4,0.03,3991,4095,104,12.8
2,20,4,0.03,4095,115,116,12.8
2,21,4,0.03,115,209,94,12.8
2,22,4,0.03,209,301,92,12.8
2,23,4,0.03,301,383,82,12.8
2,24,4,0.03,383,479,96,12.8
2,25,4,0.03,479,551,72,12.8
2,26,4,0.03,551,619,68,12.8
2,27,4,0.03,619,678,59,12.8
2,28,4,0.03,678,707,29,12.8
2,29,4,0.03,707,744,37,12.8
2,30,4,0.03,744,798,54,12.8
2,31,4,0.03,798,842,44,12.8
2,32,4,0.03,842,886,44,12.8
2,33,4,0.03,886,956,70,12.8
2,34,4,0.03,956,1023,67,12.8
2,35,4,0.03,1023,1070,47,12.8
2,36,4,0.03,1070,1130,60,12.8
2,37,4,0.03,1130,1181,51,12.8
2,38,4,0.03,1181,1212,31,12.8
2,39,4,0.03,1212,1251,39,12.8
2,40,4,0.03,1251,1304,53,12.8
2,41,4,0.03,1304,1354,50,12.8
2,42,4,0.03,1354,1403,49,12.8
2,43,4,0.03,1403,1458,55,12.8
2,44,4,0.03,1458,1507,49,12.8
2,45,4,0.03,1507,1550,43,12.8
2,46,4,0.03,1550,1593,43,12.8
2,47,4,0.03,1593,1625,32,12.8
2,48,4,0.03,1625,1682,57,12.8
2,49,4,0.03,1682,1739,57,12.8
2,50,4,0.03,1739,1783,44,12.8
2,51,4,0.03,1784,1844,60,12.8
2,52,4,0.03,1844,1905,61,12.8
2,53,4,0.03,1905,1970,65,12.8
2,54,4,0.03,1970,2019,49,12.8
2,55,4,0.03,2019,2070,51,12.8
2,56,4,0.03,2070,2128,58,12.8
2,57,4,0.03,2128,2190,62,12.8
2,58,4,0.03,2190,2268,78,12.8
2,59,4,0.03,2269,2329,60,12.8
2,60,4,0.03,2329,2414,85,12.8
2,61,4,0.03,2413,2490,77,12.8
2,62,4,0.03,2490,2558,68,12.8
2,63,4,0.03,2558,2610,52,12.8
2,64,4,0.03,2610,2683,73,12.8
2,65,4,0.03,2683,2741,58,12.8
2,66,4,0.03,2741,2823,82,12.8
2,67,4,0.03,2822,2916,94,12.8
2,68,4,0.03,2916,2972,56,12.8
2,69,4,0.03,2972,3056,84,12.8
2,70,4,0.03,3056,3158,102,12.8
2,71,4,0.03,3158,3266,108,12.8
2,72,4,0.03,3266,3392,126,12.8
2,73,4,0.03,3392,3517,125,12.8
2,74,4,0.03,3517,3625,108,12.8
