Motor,Trial,Speed,Duration,Start_Angle,End_Angle,Angle_Change,Voltage
2,46,5,0.13,1668,2663,995,12.5
2,47,5,0.13,2663,3499,836,12.5
2,48,5,0.13,3499,315,912,12.5
2,49,5,0.13,315,984,669,12.5
2,50,5,0.13,984,1627,643,12.5
2,51,5,0.13,1627,2278,651,12.5
2,52,5,0.13,2278,3008,730,12.5
2,53,5,0.13,3008,3935,927,12.5
2,54,5,0.13,3935,650,811,12.5
2,55,5,0.13,650,1241,591,12.5
2,56,5,0.13,1241,1844,603,12.5
2,57,5,0.13,1844,2497,653,12.5
2,58,5,0.13,2497,3275,778,12.5
2,59,5,0.13,3275,146,967,12.5
2,60,5,0.13,146,832,686,12.5
2,61,5,0.13,832,1473,641,12.5
2,62,5,0.13,1473,2114,641,12.5
2,63,5,0.13,2114,2794,680,12.5
2,64,5,0.13,2794,3694,900,12.5
2,65,5,0.13,3694,476,878,12.5
2,66,5,0.13,476,1100,624,12.5
2,67,5,0.13,1100,1726,626,12.5
2,68,5,0.13,1726,2401,675,12.5
2,69,5,0.13,2401,3114,713,12.5
2,70,5,0.13,3114,4090,976,12.5
2,71,5,0.13,4090,735,741,12.5
2,72,5,0.13,735,1327,592,12.5
2,73,5,0.13,1327,2003,676,12.5
2,74,5,0.13,2003,2660,657,12.5
2,75,5,0.13,2660,3466,806,12.5
2,76,5,0.13,3466,297,927,12.5
2,77,5,0.13,297,954,657,12.5
2,78,5,0.13,954,1570,616,12.5
2,79,5,0.13,1570,2203,633,12.5
2,80,5,0.13,2203,2924,721,12.5
2,81,5,0.13,2924,3837,913,12.5
2,82,5,0.13,3837,560,819,12.5
2,83,5,0.13,560,1149,589,12.5
2,84,5,0.13,1149,1784,635,12.5
2,85,5,0.13,1784,2422,638,12.5
2,86,5,0.13,2422,3143,721,12.5
2,87,5,0.13,3143,4,957,12.5
2,88,5,0.13,4,714,710,12.5
2,89,5,0.13,714,1311,597,12.5
2,90,5,0.13,1311,1993,682,12.5
2,91,5,0.13,1993,2637,644,12.5
2,92,5,0.13,2637,3434,797,12.5
2,93,5,0.13,3433,223,886,12.5
2,94,5,0.13,223,884,661,12.5
2,95,5,0.13,884,1500,616,12.5
2,96,5,0.13,1500,2159,659,12.5
2,97,5,0.13,2159,2836,677,12.5
2,98,5,0.13,2837,3737,900,12.5
2,99,5,0.13,3737,489,848,12.5
2,0,6,0.13,489,1639,1150,12.5
2,1,6,0.13,1639,2864,1225,12.5
2,2,6,0.13,2864,329,1561,12.5
2,3,6,0.13,329,1480,1151,12.5
2,4,6,0.13,1480,2715,1235,12.5
2,5,6,0.13,2715,179,1560,12.5
2,6,6,0.13,179,1358,1179,12.5
2,7,6,0.13,1358,2612,1254,12.5
2,8,6,0.13,2612,30,1514,12.5
2,9,6,0.13,30,1244,1214,12.5
2,10,6,0.13,1244,2477,1233,12.5
2,11,6,0.13,2477,3948,1471,12.5
2,12,6,0.13,3948,1079,1227,12.5
2,13,6,0.13,1079,2268,1189,12.5
2,14,6,0.13,2268,2800,532,12.5
2,15,6,0.13,2800,905,2201,12.5
2,16,6,0.13,905,1470,565,12.5
2,17,6,0.13,1470,3500,2030,12.5
2,18,6,0.13,3500,767,1363,12.5
2,19,6,0.13,767,1925,1158,12.5
2,20,6,0.13,1925,3165,1240,12.5
2,21,6,0.13,3165,566,1497,12.5
2,22,6,0.13,566,1697,1131,12.5
2,23,6,0.13,1697,2877,1180,12.5
2,24,6,0.13,2877,293,1512,12.5
2,25,6,0.13,293,1435,1142,12.5
2,26,6,0.13,1435,2657,1222,12.5
2,27,6,0.13,2657,46,1485,12.5
2,28,6,0.13,46,1251,1205,12.5
2,29,6,0.13,1251,2468,1217,12.5
2,30,6,0.13,2468,3876,1408,12.5
2,31,6,0.13,3876,1046,1266,12.5
2,32,6,0.13,1046,2190,1144,12.5
2,33,6,0.13,2190,3550,1360,12.5
2,34,6,0.13,3550,786,1332,12.5
2,35,6,0.13,786,1985,1199,12.5
2,36,6,0.13,1985,3211,1226,12.5
2,37,6,0.13,3211,573,1458,12.5
2,38,6,0.13,573,1706,1133,12.5
2,39,6,0.13,1706,2869,1163,12.5
2,40,6,0.13,2869,261,1488,12.5
2,41,6,0.13,261,1404,1143,12.5
2,42,6,0.13,1404,2614,1210,12.5
2,43,6,0.13,2613,4069,1456,12.5
2,44,6,0.13,4069,1158,1185,12.5
2,45,6,0.13,1158,2313,1155,12.5
2,46,6,0.13,2313,3665,1352,12.5
2,47,6,0.13,3665,851,1282,12.5
2,48,6,0.13,851,2012,1161,12.5
2,49,6,0.13,2012,3236,1224,12.5
2,50,6,0.13,3236,588,1448,12.5
2,51,6,0.13,588,1712,1124,12.5
2,52,6,0.13,1712,2878,1166,12.5
2,53,6,0.13,2878,3466,588,12.5
2,54,6,0.13,3466,1405,2035,12.5
2,55,6,0.13,1405,2601,1196,12.5
2,56,6,0.13,2601,3117,516,12.5
2,57,6,0.13,3117,1122,2101,12.5
2,58,6,0.13,1122,2242,1120,12.5
2,59,6,0.13,2242,3569,1327,12.5
2,60,6,0.13,3569,769,1296,12.5
2,61,6,0.13,769,1900,1131,12.5
2,62,6,0.13,1900,3055,1155,12.5
2,63,6,0.13,3055,450,1491,12.5
2,64,6,0.13,449,1542,1093,12.5
2,65,6,0.13,1542,2672,1130,12.5
2,66,6,0.13,2672,24,1448,12.5
2,67,6,0.13,24,1203,1179,12.5
2,68,6,0.13,1203,2361,1158,12.5
2,69,6,0.13,2361,2887,526,12.5
2,70,6,0.13,2887,889,2098,12.5
2,71,6,0.13,889,1436,547,12.5
2,72,6,0.13,1436,3243,1807,12.5
2,73,6,0.13,3243,577,1430,12.5
2,74,6,0.13,577,1650,1073,12.5
2,75,6,0.13,1650,2811,1161,12.5
2,76,6,0.13,2811,182,1467,12.5
2,77,6,0.13,182,1302,1120,12.5
2,78,6,0.13,1302,2495,1193,12.5
2,79,6,0.13,2495,3903,1408,12.5
2,80,6,0.13,3903,999,1192,12.5
2,81,6,0.13,999,2144,1145,12.5
2,82,6,0.13,2144,3407,1263,12.5
2,83,6,0.13,3407,654,1343,12.5
2,84,6,0.13,653,1746,1093,12.5
2,85,6,0.13,1746,2867,1121,12.5
2,86,6,0.13,2867,215,1444,12.5
2,87,6,0.13,215,1308,1093,12.5
2,88,6,0.13,1308,2493,1185,12.5
2,89,6,0.13,2493,3853,1360,12.5
2,90,6,0.13,3853,968,1211,12.5
2,91,6,0.13,968,2097,1129,12.5
2,92,6,0.13,2097,2610,513,12.5
2,93,6,0.13,2610,615,2101,12.5
2,94,6,0.13,615,1694,1079,12.5
2,95,6,0.13,1694,2846,1152,12.5
2,96,6,0.13,2846,240,1490,12.5
2,97,6,0.13,240,1333,1093,12.5
2,98,6,0.13,1332,2501,1169,12.5
2,99,6,0.13,2501,3913,1412,12.5
2,0,7,0.13,3913,1531,1714,12.5
2,1,7,0.13,1531,3396,1865,12.5
2,2,7,0.13,3396,1177,1877,12.5
2,3,7,0.13,1177,2942,1765,12.5
2,4,7,0.13,2942,846,2000,12.5
2,5,7,0.13,846,2541,1695,12.5
2,6,7,0.13,2541,468,2023,12.5
2,7,7,0.13,468,2180,1712,12.5
2,8,7,0.13,2180,163,2079,12.5
2,9,7,0.13,163,1913,1750,12.5
2,10,7,0.13,1914,3822,1908,12.5
2,11,7,0.13,3822,1527,1801,12.5
2,12,7,0.13,1527,3364,1837,12.5
2,13,7,0.13,3364,1176,1908,12.5
2,14,7,0.13,1176,2917,1741,12.5
2,15,7,0.13,2917,795,1974,12.5
2,16,7,0.13,795,2544,1749,12.5
2,17,7,0.13,2544,499,2051,12.5
2,18,7,0.13,499,2184,1685,12.5
2,19,7,0.13,2184,142,2054,12.5
2,20,7,0.13,142,1845,1703,12.5
2,21,7,0.13,1845,3792,1947,12.5
2,22,7,0.13,3792,1462,1766,12.5
2,23,7,0.13,1462,3254,1792,12.5
