Motor	Trial	Speed	Duration	Start Angle	End Angle	Angle Change
2	179	10	0.03	1192	1721	529
2	180	10	0.03	1721	2271	550
2	181	10	0.03	2271	2993	722
2	182	10	0.03	2993	4040	1047
2	183	10	0.03	4040	796	852
2	184	10	0.03	796	1353	557
2	185	10	0.03	1353	1930	577
2	186	10	0.03	1929	1930	1
2	187	10	0.03	1930	3223	1293
2	188	10	0.03	3223	277	1150
2	189	10	0.03	277	961	684
2	190	10	0.03	961	1561	600
2	191	10	0.03	1561	2096	535
2	192	10	0.03	2096	2678	582
2	193	10	0.03	2678	3452	774
2	194	10	0.03	3452	465	1109
2	195	10	0.03	465	1095	630
2	196	10	0.03	1095	1642	547
2	197	10	0.03	1642	2191	549
2	198	10	0.03	2191	2838	647
2	199	10	0.03	2838	3816	978
